REF_Fst,CAND_Fst,GI5_Fst,LFY_Fst,FRI_Fst,weights,xCoord.S1,yCoord.S1,xCoord.S2,yCoord.S2,s1.bio_1,s1.bio_10,s1.bio_15,s1.bio_18,s1.bio_2,s1.bio_7,s2.bio_1,s2.bio_10,s2.bio_15,s2.bio_18,s2.bio_2,s2.bio_7
0.133126729,0.134773357,0.006518763,0.362450841,0.107620497,1,-384.615469,1027.451716,-534.9494546,2153.127533,3.1,18.2,63,189,13.1,48.9,-4.5,13.4,48,180,10.9,53.7
0.167527413,0.176954852,0.026350982,0.44742274,0.13026444,1,-384.615469,1027.451716,-2101.183665,2731.513395,3.1,18.2,63,189,13.1,48.9,-3.4,9.3,35,109,11,41
0.166590351,0.13079246,0.010650862,0.070299697,0.087188625,1,-384.615469,1027.451716,-445.8753816,1947.907655,3.1,18.2,63,189,13.1,48.9,-3.3,13.7,48,222,10.1,50.1
0.170727621,0.26373392,0.374118573,0.126066701,0.237104312,1,-2192.833452,3882.275799,-2563.667805,3363.830094,-10.7,8.5,60,89,11,50.7,-5.2,9,63,196,10.2,39.9
0.212783861,0.331422091,0.481622693,0.101875622,0.298572553,1,-2192.833452,3882.275799,-146.9142688,1615.053487,-10.7,8.5,60,89,11,50.7,-1.2,15.9,52,204,10.3,51
0.220500461,0.304557987,0.403757409,0.138893496,0.287977168,1,-2192.833452,3882.275799,-1067.930875,1580.692407,-10.7,8.5,60,89,11,50.7,1.8,15,66,234,11.9,42.7
0.20919212,0.285034604,0.381894206,0.362160541,0.213596239,1,-2192.833452,3882.275799,-2391.457038,3413.089829,-10.7,8.5,60,89,11,50.7,-4.3,13.5,65,154,10.9,49.3
0.42669835,0.662610885,0.773959042,0.291159999,0.365730832,1,-2192.833452,3882.275799,2048.546618,1062.207543,-10.7,8.5,60,89,11,50.7,3.2,16.3,12,295,11.1,41.6
0.245738365,0.305465684,0.407144721,0.215424974,0.113073261,1,-2192.833452,3882.275799,-917.4329518,1919.05922,-10.7,8.5,60,89,11,50.7,0,15,57,217,12.5,49.2
0.229186346,0.259936237,0.343332763,0.372177922,0.102215913,1,-2192.833452,3882.275799,-2817.269214,3726.866322,-10.7,8.5,60,89,11,50.7,-4.6,13.6,51,154,9.3,47.5
0.178475119,0.278085191,0.35888888,0.242377098,0.187401527,1,-2192.833452,3882.275799,99.03966564,1807.763155,-10.7,8.5,60,89,11,50.7,-4.4,13.1,48,202,10.7,51.9
0.218624966,0.373559529,0.466388657,0.098536076,0.145948285,1,-2192.833452,3882.275799,-1395.927399,1780.301275,-10.7,8.5,60,89,11,50.7,1.8,13.2,44,233,12,39.5
0.211465449,0.315663142,0.407291241,0.098699185,0.179335332,1,-2192.833452,3882.275799,-206.1196358,1462.084383,-10.7,8.5,60,89,11,50.7,0.3,16.7,51,203,9.5,48.4
0.195484878,0.281102725,0.358215587,0.292791271,0.109334037,1,-2192.833452,3882.275799,-1066.543011,2393.759537,-10.7,8.5,60,89,11,50.7,-3.3,13.9,36,133,10.5,50.7
0.184968617,0.188897758,0.018586518,0.279926804,0.214696109,1,-2192.833452,3882.275799,-1664.200218,3493.36477,-10.7,8.5,60,89,11,50.7,-9.2,11.4,42,93,9.3,51.2
0.338209012,0.544054399,0.780903145,0.181538292,0.153757896,1,-2192.833452,3882.275799,1585.576093,2245.811056,-10.7,8.5,60,89,11,50.7,-5.6,9.3,29,175,8.9,44.4
0.61431567,1,0.978241737,1,0.3687827,1,-2192.833452,3882.275799,1866.055322,1698.872071,-10.7,8.5,60,89,11,50.7,-3.6,11.4,28,306,10.7,46.4
0.178272703,0.272867709,0.338844404,0.116434307,0.244623988,1,-2192.833452,3882.275799,-564.6831192,1514.882574,-10.7,8.5,60,89,11,50.7,0.1,15.8,48,195,12.1,50.5
0.216045704,0.286397712,0.358945989,0.222225618,0.253804825,1,-2192.833452,3882.275799,-426.7698953,1216.374288,-10.7,8.5,60,89,11,50.7,1.5,16.8,51,186,12,48.9
0.580758369,0.801061688,0.796201798,0.290055774,0.548597592,1,-2192.833452,3882.275799,1824.687253,1541.520674,-10.7,8.5,60,89,11,50.7,-2.1,12.5,25,334,11.1,46.1
0.435671273,0.56815892,0.513372179,0.289067968,0.3661711,1,-2192.833452,3882.275799,1983.805474,1248.076615,-10.7,8.5,60,89,11,50.7,2.1,15,15,302,10.8,41.6
0.284370544,0.390770531,0.428439069,0.182645527,0.132067644,1,-2192.833452,3882.275799,-3153.883063,3997.134713,-10.7,8.5,60,89,11,50.7,-3.6,9.1,62,168,7.6,33.6
0.196128404,0.276810914,0.282149674,0.347886127,0.34476624,1,-2192.833452,3882.275799,-1478.058372,3049.382989,-10.7,8.5,60,89,11,50.7,-5.8,14,48,141,11,53.1
0.224640811,0.379269754,0.471955796,0.104423326,0.311218489,1,-2192.833452,3882.275799,-149.4650633,1065.28304,-10.7,8.5,60,89,11,50.7,3,18.5,55,219,11.7,48.7
0.276866022,0.442047242,0.461463938,0.234909876,0.345407238,1,-2192.833452,3882.275799,1255.675587,1059.596183,-10.7,8.5,60,89,11,50.7,0.8,15,30,312,11.3,46.2
0.922224331,0.662336802,0.624151085,0.24991429,0.272281368,1,-2192.833452,3882.275799,2245.349458,1139.797348,-10.7,8.5,60,89,11,50.7,5.2,17.2,12,257,9.2,36.8
0.221109209,0.330345451,0.501032879,0.223381679,0.080234437,1,-2192.833452,3882.275799,305.0026349,1126.635862,-10.7,8.5,60,89,11,50.7,0.7,16.2,36,279,11.3,49.2
0.189180926,0.298362486,0.412216157,0.265442705,0.216758073,1,-2192.833452,3882.275799,-489.7474458,1773.978036,-10.7,8.5,60,89,11,50.7,-1.8,14.7,49,222,11.3,50.8
0.233300936,0.353571547,0.532958126,0.167814652,0.180062545,1,-2192.833452,3882.275799,-1067.325553,1459.492846,-10.7,8.5,60,89,11,50.7,2.4,15.6,62,206,11.7,43.3
0.209561967,0.343806551,0.369313516,0.365984865,0.252062249,1,-2192.833452,3882.275799,-534.9494546,2153.127533,-10.7,8.5,60,89,11,50.7,-4.5,13.4,48,180,10.9,53.7
0.246727295,0.30405245,0.326858736,0.341945196,0.268845387,1,-2192.833452,3882.275799,-2101.183665,2731.513395,-10.7,8.5,60,89,11,50.7,-3.4,9.3,35,109,11,41
0.228303551,0.305440105,0.364066975,0.257597231,0.185651576,1,-2192.833452,3882.275799,-445.8753816,1947.907655,-10.7,8.5,60,89,11,50.7,-3.3,13.7,48,222,10.1,50.1
0.165119789,0.154510472,0.047479717,0.069855025,0.332188559,1,-2563.667805,3363.830094,-146.9142688,1615.053487,-5.2,9,63,196,10.2,39.9,-1.2,15.9,52,204,10.3,51
0.166033677,0.158378013,0.01175558,0.059764637,0.285055674,1,-2563.667805,3363.830094,-1067.930875,1580.692407,-5.2,9,63,196,10.2,39.9,1.8,15,66,234,11.9,42.7
0.13697892,0.124000552,0.008851336,0.150063781,0.205839075,1,-2563.667805,3363.830094,-2391.457038,3413.089829,-5.2,9,63,196,10.2,39.9,-4.3,13.5,65,154,10.9,49.3
0.34726823,0.443678734,0.279262336,0.179163197,0.395755787,1,-2563.667805,3363.830094,2048.546618,1062.207543,-5.2,9,63,196,10.2,39.9,3.2,16.3,12,295,11.1,41.6
0.186847919,0.103676112,0.015746979,0.068606143,0.155121803,1,-2563.667805,3363.830094,-917.4329518,1919.05922,-5.2,9,63,196,10.2,39.9,0,15,57,217,12.5,49.2
0.158173097,0.135232886,0.004896991,0.148073984,0.236531357,1,-2563.667805,3363.830094,-2817.269214,3726.866322,-5.2,9,63,196,10.2,39.9,-4.6,13.6,51,154,9.3,47.5
0.14849884,0.137860543,0.008089506,0.076226615,0.310574616,1,-2563.667805,3363.830094,99.03966564,1807.763155,-5.2,9,63,196,10.2,39.9,-4.4,13.1,48,202,10.7,51.9
0.172718305,0.20455249,0.029049275,0.043620328,0.148314273,1,-2563.667805,3363.830094,-1395.927399,1780.301275,-5.2,9,63,196,10.2,39.9,1.8,13.2,44,233,12,39.5
0.166803763,0.141600061,0.021468557,0.106271366,0.14160954,1,-2563.667805,3363.830094,-206.1196358,1462.084383,-5.2,9,63,196,10.2,39.9,0.3,16.7,51,203,9.5,48.4
0.142681242,0.131495839,0.006611076,0.097814178,0.184886577,1,-2563.667805,3363.830094,-1066.543011,2393.759537,-5.2,9,63,196,10.2,39.9,-3.3,13.9,36,133,10.5,50.7
0.133101662,0.239114698,0.37658364,0.070372662,0.097229413,1,-2563.667805,3363.830094,-1664.200218,3493.36477,-5.2,9,63,196,10.2,39.9,-9.2,11.4,42,93,9.3,51.2
0.312489785,0.33423932,0.241567319,0.150165992,0.221632848,1,-2563.667805,3363.830094,1585.576093,2245.811056,-5.2,9,63,196,10.2,39.9,-5.6,9.3,29,175,8.9,44.4
0.56627658,0.702846536,0.456807853,0.876398439,0.203774686,1,-2563.667805,3363.830094,1866.055322,1698.872071,-5.2,9,63,196,10.2,39.9,-3.6,11.4,28,306,10.7,46.4
0.144936745,0.122595392,0.009475007,0.095204509,0.154787634,1,-2563.667805,3363.830094,-564.6831192,1514.882574,-5.2,9,63,196,10.2,39.9,0.1,15.8,48,195,12.1,50.5
0.165410106,0.122519933,0.013519936,0.151774017,0.1115458,1,-2563.667805,3363.830094,-426.7698953,1216.374288,-5.2,9,63,196,10.2,39.9,1.5,16.8,51,186,12,48.9
0.53134473,0.586878972,0.304569881,0.197452296,0.817180245,1,-2563.667805,3363.830094,1824.687253,1541.520674,-5.2,9,63,196,10.2,39.9,-2.1,12.5,25,334,11.1,46.1
0.35867364,0.418531464,0.073757978,0.184339406,0.341688583,1,-2563.667805,3363.830094,1983.805474,1248.076615,-5.2,9,63,196,10.2,39.9,2.1,15,15,302,10.8,41.6
0.239905127,0.249497847,0.091043014,0.046229923,0.172294661,1,-2563.667805,3363.830094,-3153.883063,3997.134713,-5.2,9,63,196,10.2,39.9,-3.6,9.1,62,168,7.6,33.6
0.135393911,0.181166502,0.082942938,0.159798769,0.26703841,1,-2563.667805,3363.830094,-1478.058372,3049.382989,-5.2,9,63,196,10.2,39.9,-5.8,14,48,141,11,53.1
0.169885696,0.214851732,0.064741346,0.241021955,0.346549566,1,-2563.667805,3363.830094,-149.4650633,1065.28304,-5.2,9,63,196,10.2,39.9,3,18.5,55,219,11.7,48.7
0.224594402,0.267986113,0.04205352,0.068310441,0.425893317,1,-2563.667805,3363.830094,1255.675587,1059.596183,-5.2,9,63,196,10.2,39.9,0.8,15,30,312,11.3,46.2
0.828190158,0.493386258,0.167408925,0.33707963,0.41302214,1,-2563.667805,3363.830094,2245.349458,1139.797348,-5.2,9,63,196,10.2,39.9,5.2,17.2,12,257,9.2,36.8
0.178522053,0.132597502,0.053151631,0.062022352,0.2310427,1,-2563.667805,3363.830094,305.0026349,1126.635862,-5.2,9,63,196,10.2,39.9,0.7,16.2,36,279,11.3,49.2
0.147724038,0.127074753,0.023879591,0.153652743,0.218537895,1,-2563.667805,3363.830094,-489.7474458,1773.978036,-5.2,9,63,196,10.2,39.9,-1.8,14.7,49,222,11.3,50.8
0.184471619,0.151938999,0.073991217,0.085075326,0.106969342,1,-2563.667805,3363.830094,-1067.325553,1459.492846,-5.2,9,63,196,10.2,39.9,2.4,15.6,62,206,11.7,43.3
0.142819631,0.155359637,0.007236098,0.135653963,0.274166974,1,-2563.667805,3363.830094,-534.9494546,2153.127533,-5.2,9,63,196,10.2,39.9,-4.5,13.4,48,180,10.9,53.7
0.139258867,0.150756903,0.022062665,0.128983346,0.319994491,1,-2563.667805,3363.830094,-2101.183665,2731.513395,-5.2,9,63,196,10.2,39.9,-3.4,9.3,35,109,11,41
0.197121074,0.146346286,0.006024595,0.137606627,0.25579645,1,-2563.667805,3363.830094,-445.8753816,1947.907655,-5.2,9,63,196,10.2,39.9,-3.3,13.7,48,222,10.1,50.1
0.141793457,0.091287991,0.029886391,0.014510343,0.031796907,1,-146.9142688,1615.053487,-1067.930875,1580.692407,-1.2,15.9,52,204,10.3,51,1.8,15,66,234,11.9,42.7
0.171821569,0.127657921,0.024137738,0.199186237,0.067561094,1,-146.9142688,1615.053487,-2391.457038,3413.089829,-1.2,15.9,52,204,10.3,51,-4.3,13.5,65,154,10.9,49.3
0.291291165,0.272580956,0.131588871,0.219171173,0.063741078,1,-146.9142688,1615.053487,2048.546618,1062.207543,-1.2,15.9,52,204,10.3,51,3.2,16.3,12,295,11.1,41.6
0.122669525,0.091716721,0.015744664,0.104397989,0.096327507,1,-146.9142688,1615.053487,-917.4329518,1919.05922,-1.2,15.9,52,204,10.3,51,0,15,57,217,12.5,49.2
0.187471719,0.173239252,0.066626483,0.229415285,0.190180312,1,-146.9142688,1615.053487,-2817.269214,3726.866322,-1.2,15.9,52,204,10.3,51,-4.6,13.6,51,154,9.3,47.5
0.117433499,0.108092597,0.077256606,0.069403385,0.07473204,1,-146.9142688,1615.053487,99.03966564,1807.763155,-1.2,15.9,52,204,10.3,51,-4.4,13.1,48,202,10.7,51.9
0.163756749,0.20672621,0.049654833,0.018021712,0.111338791,1,-146.9142688,1615.053487,-1395.927399,1780.301275,-1.2,15.9,52,204,10.3,51,1.8,13.2,44,233,12,39.5
0.12457871,0.105256564,0.018003017,0.084253239,0.102136785,1,-146.9142688,1615.053487,-206.1196358,1462.084383,-1.2,15.9,52,204,10.3,51,0.3,16.7,51,203,9.5,48.4
0.117481242,0.107038945,0.028739311,0.076285304,0.11630519,1,-146.9142688,1615.053487,-1066.543011,2393.759537,-1.2,15.9,52,204,10.3,51,-3.3,13.9,36,133,10.5,50.7
0.146294013,0.319096947,0.48043932,0.137437216,0.338424667,1,-146.9142688,1615.053487,-1664.200218,3493.36477,-1.2,15.9,52,204,10.3,51,-9.2,11.4,42,93,9.3,51.2
0.291752558,0.248576108,0.10759602,0.138632575,0.067856315,1,-146.9142688,1615.053487,1585.576093,2245.811056,-1.2,15.9,52,204,10.3,51,-5.6,9.3,29,175,8.9,44.4
0.502961526,0.554157469,0.283170419,0.701729779,0.096351144,1,-146.9142688,1615.053487,1866.055322,1698.872071,-1.2,15.9,52,204,10.3,51,-3.6,11.4,28,306,10.7,46.4
0.112478957,0.09278088,0.035716943,0.021503997,0.093678205,1,-146.9142688,1615.053487,-564.6831192,1514.882574,-1.2,15.9,52,204,10.3,51,0.1,15.8,48,195,12.1,50.5
0.120272342,0.102668376,0.029436008,0.058894045,0.11093921,1,-146.9142688,1615.053487,-426.7698953,1216.374288,-1.2,15.9,52,204,10.3,51,1.5,16.8,51,186,12,48.9
0.473118398,0.412376695,0.154893244,0.261024321,0.17368657,1,-146.9142688,1615.053487,1824.687253,1541.520674,-1.2,15.9,52,204,10.3,51,-2.1,12.5,25,334,11.1,46.1
0.314210497,0.28978578,0.011521061,0.223878384,0.050865427,1,-146.9142688,1615.053487,1983.805474,1248.076615,-1.2,15.9,52,204,10.3,51,2.1,15,15,302,10.8,41.6
0.254235184,0.343288003,0.203270422,0.033645859,0.229725215,1,-146.9142688,1615.053487,-3153.883063,3997.134713,-1.2,15.9,52,204,10.3,51,-3.6,9.1,62,168,7.6,33.6
0.164006054,0.28655222,0.209036013,0.183873046,0.534398566,1,-146.9142688,1615.053487,-1478.058372,3049.382989,-1.2,15.9,52,204,10.3,51,-5.8,14,48,141,11,53.1
0.122828886,0.108468258,0.009067928,0.138887055,0.030214801,1,-146.9142688,1615.053487,-149.4650633,1065.28304,-1.2,15.9,52,204,10.3,51,3,18.5,55,219,11.7,48.7
0.192684355,0.161963365,0.007719972,0.077823411,0.045752106,1,-146.9142688,1615.053487,1255.675587,1059.596183,-1.2,15.9,52,204,10.3,51,0.8,15,30,312,11.3,46.2
0.806464879,0.381157272,0.080024343,0.309411318,0.116407398,1,-146.9142688,1615.053487,2245.349458,1139.797348,-1.2,15.9,52,204,10.3,51,5.2,17.2,12,257,9.2,36.8
0.137930373,0.082166811,0.004134886,0.048733382,0.134358241,1,-146.9142688,1615.053487,305.0026349,1126.635862,-1.2,15.9,52,204,10.3,51,0.7,16.2,36,279,11.3,49.2
0.116879515,0.085696107,0.007641861,0.091298786,0.04609403,1,-146.9142688,1615.053487,-489.7474458,1773.978036,-1.2,15.9,52,204,10.3,51,-1.8,14.7,49,222,11.3,50.8
0.122775896,0.120524126,0.010766254,0.019946,0.175388363,1,-146.9142688,1615.053487,-1067.325553,1459.492846,-1.2,15.9,52,204,10.3,51,2.4,15.6,62,206,11.7,43.3
0.124527171,0.108090434,0.033139414,0.190911769,0.0566039,1,-146.9142688,1615.053487,-534.9494546,2153.127533,-1.2,15.9,52,204,10.3,51,-4.5,13.4,48,180,10.9,53.7
0.172096679,0.191594662,0.11180324,0.231243861,0.118775331,1,-146.9142688,1615.053487,-2101.183665,2731.513395,-1.2,15.9,52,204,10.3,51,-3.4,9.3,35,109,11,41
0.159310497,0.139131939,0.063720288,0.047732314,0.053212853,1,-146.9142688,1615.053487,-445.8753816,1947.907655,-1.2,15.9,52,204,10.3,51,-3.3,13.7,48,222,10.1,50.1
0.182744388,0.150347704,0.012093454,0.156490041,0.087963634,1,-1067.930875,1580.692407,-2391.457038,3413.089829,1.8,15,66,234,11.9,42.7,-4.3,13.5,65,154,10.9,49.3
0.301116653,0.358547435,0.221681164,0.183872083,0.085539949,1,-1067.930875,1580.692407,2048.546618,1062.207543,1.8,15,66,234,11.9,42.7,3.2,16.3,12,295,11.1,41.6
0.13107508,0.115557717,0.012300174,0.076564408,0.099590012,1,-1067.930875,1580.692407,-917.4329518,1919.05922,1.8,15,66,234,11.9,42.7,0,15,57,217,12.5,49.2
0.189512467,0.151897331,0.020187025,0.176867254,0.150779522,1,-1067.930875,1580.692407,-2817.269214,3726.866322,1.8,15,66,234,11.9,42.7,-4.6,13.6,51,154,9.3,47.5
0.129683948,0.110377716,0.027322945,0.044886574,0.06138884,1,-1067.930875,1580.692407,99.03966564,1807.763155,1.8,15,66,234,11.9,42.7,-4.4,13.1,48,202,10.7,51.9
0.146896401,0.192340694,0.010727038,0.015404515,0.065054494,1,-1067.930875,1580.692407,-1395.927399,1780.301275,1.8,15,66,234,11.9,42.7,1.8,13.2,44,233,12,39.5
0.147673542,0.137583533,0.022887717,0.083322,0.070107981,1,-1067.930875,1580.692407,-206.1196358,1462.084383,1.8,15,66,234,11.9,42.7,0.3,16.7,51,203,9.5,48.4
0.134064134,0.138365668,0.015444791,0.050856013,0.104860671,1,-1067.930875,1580.692407,-1066.543011,2393.759537,1.8,15,66,234,11.9,42.7,-3.3,13.9,36,133,10.5,50.7
0.162287988,0.292816654,0.402791865,0.110658292,0.286838701,1,-1067.930875,1580.692407,-1664.200218,3493.36477,1.8,15,66,234,11.9,42.7,-9.2,11.4,42,93,9.3,51.2
