sample,country,countryspecies,population,latwgs84,lonwgs84,latetrs89,lonetrs89
CH_FS_11_16,CH,CH_FS,CH_FS_11,47.237815,7.475417,2683729.02,4129738.442
CH_FS_11_17,CH,CH_FS,CH_FS_11,47.237106,7.472973,2683656.605,4129550.767
CH_FS_11_18,CH,CH_FS,CH_FS_11,47.236915,7.472228,2683637.322,4129493.649
CH_FS_11_19,CH,CH_FS,CH_FS_11,47.236779,7.471643,2683623.733,4129448.85
CH_FS_11_20,CH,CH_FS,CH_FS_11,47.236786,7.471073,2683625.984,4129405.711
CH_FS_11_21,CH,CH_FS,CH_FS_11,47.23676,7.470364,2683624.93,4129351.924
CH_FS_11_22,CH,CH_FS,CH_FS_11,47.23687,7.469658,2683638.971,4129298.865
CH_FS_11_23,CH,CH_FS,CH_FS_11,47.237139,7.470012,2683667.924,4129326.66
CH_FS_11_24,CH,CH_FS,CH_FS_11,47.237307,7.470649,2683684.931,4129375.515
CH_FS_11_25,CH,CH_FS,CH_FS_11,47.237369,7.471308,2683690.111,4129425.646
CH_FS_12_01,CH,CH_FS,CH_FS_12,47.22173,7.401966,2682135.371,4124115.738
CH_FS_12_02,CH,CH_FS,CH_FS_12,47.222099,7.402265,2682175.548,4124139.778
CH_FS_12_03,CH,CH_FS,CH_FS_12,47.222385,7.402544,2682206.563,4124161.989
CH_FS_12_04,CH,CH_FS,CH_FS_12,47.22295,7.402801,2682268.615,4124183.585
CH_FS_12_05,CH,CH_FS,CH_FS_12,47.222234,7.403105,2682188.307,4124203.913
CH_FS_12_06,CH,CH_FS,CH_FS_12,47.22194,7.402989,2682155.971,4124194.018
CH_FS_12_07,CH,CH_FS,CH_FS_12,47.221342,7.403034,2682089.452,4124195.173
CH_FS_12_08,CH,CH_FS,CH_FS_12,47.220982,7.402684,2682050.41,4124167.305
CH_FS_12_09,CH,CH_FS,CH_FS_12,47.220586,7.402724,2682006.334,4124168.842
CH_FS_12_10,CH,CH_FS,CH_FS_12,47.221107,7.402064,2682065.936,4124120.812
CH_FS_12_11,CH,CH_FS,CH_FS_12,47.220512,7.401544,2682001.252,4124079.18
CH_FS_12_12,CH,CH_FS,CH_FS_12,47.220352,7.401281,2681984.186,4124058.655
CH_FS_12_13,CH,CH_FS,CH_FS_12,47.220126,7.401017,2681959.794,4124037.805
CH_FS_12_14,CH,CH_FS,CH_FS_12,47.21987,7.401395,2681930.364,4124065.472
CH_FS_12_15,CH,CH_FS,CH_FS_12,47.220226,7.401453,2681969.738,4124071.208
CH_FS_12_16,CH,CH_FS,CH_FS_12,47.220369,7.402198,2681983.637,4124128.18
CH_FS_12_17,CH,CH_FS,CH_FS_12,47.220038,7.402128,2681947.07,4124121.63
CH_FS_12_18,CH,CH_FS,CH_FS_12,47.21973,7.40197,2681913.291,4124108.5
CH_FS_12_19,CH,CH_FS,CH_FS_12,47.219242,7.401888,2681859.324,4124100.449
CH_FS_12_20,CH,CH_FS,CH_FS_12,47.219491,7.402317,2681885.832,4124133.884
CH_FS_12_21,CH,CH_FS,CH_FS_12,47.22129,7.403849,2682081.514,4124256.711
CH_FS_12_22,CH,CH_FS,CH_FS_12,47.221024,7.401379,2682058.54,4124068.612
CH_FS_12_23,CH,CH_FS,CH_FS_12,47.220716,7.400916,2682025.572,4124032.38
CH_FS_12_24,CH,CH_FS,CH_FS_12,47.221161,7.399999,2682077.42,4123964.598
CH_FS_12_25,CH,CH_FS,CH_FS_12,47.221401,7.399643,2682105.015,4123938.538
DE_FS_15_01,DE,DE_FS,DE_FS_15,47.776293,12.814292,2744312.75,4531991.947
DE_FS_15_02,DE,DE_FS,DE_FS_15,47.77585,12.81433333,2744263.67,4531996.865
DE_FS_15_03,DE,DE_FS,DE_FS_15,47.77596667,12.8145,2744277.103,4532008.874
DE_FS_15_04,DE,DE_FS,DE_FS_15,47.776043,12.813981,2744284.099,4531969.671
DE_FS_15_05,DE,DE_FS,DE_FS_15,47.776072,12.814955,2744290.098,4532042.535
DE_FS_15_06,DE,DE_FS,DE_FS_15,47.776069,12.815436,2744291.138,4532078.588
DE_FS_15_07,DE,DE_FS,DE_FS_15,47.775797,12.815725,2744261.756,4532101.362
DE_FS_15_08,DE,DE_FS,DE_FS_15,47.775776,12.816165,2744260.68,4532134.418
DE_FS_15_09,DE,DE_FS,DE_FS_15,47.775415,12.816346,2744221.105,4532149.465
DE_FS_15_10,DE,DE_FS,DE_FS_15,47.77524,12.816797,2744202.959,4532183.979
DE_FS_15_11,DE,DE_FS,DE_FS_15,47.774995,12.817127,2744176.692,4532209.714
DE_FS_15_12,DE,DE_FS,DE_FS_15,47.7757,12.81471667,2744248.106,4532026.205
DE_FS_15_13,DE,DE_FS,DE_FS_15,47.77558333,12.81503333,2744236.053,4532050.413
DE_FS_15_14,DE,DE_FS,DE_FS_15,47.77535,12.81555,2744211.615,4532090.087
DE_FS_15_15,DE,DE_FS,DE_FS_15,47.77501667,12.8159,2744175.596,4532117.684
DE_FS_15_16,DE,DE_FS,DE_FS_15,47.77488333,12.8161,2744161.359,4532133.218
DE_FS_15_17,DE,DE_FS,DE_FS_15,47.77488333,12.81655,2744162.643,4532166.938
DE_FS_15_18,DE,DE_FS,DE_FS_15,47.77463333,12.81678333,2744135.546,4532185.45
DE_FS_15_19,DE,DE_FS,DE_FS_15,47.77588333,12.8149,2744268.989,4532039.189
DE_FS_15_20,DE,DE_FS,DE_FS_15,47.7757,12.81523333,2744249.58,4532064.919
DE_FS_15_21,DE,DE_FS,DE_FS_15,47.77541667,12.81561667,2744219.209,4532094.808
DE_FS_15_22,DE,DE_FS,DE_FS_15,47.77531667,12.81586667,2744208.817,4532113.952
DE_FS_15_23,DE,DE_FS,DE_FS_15,47.77525,12.81628333,2744202.602,4532145.448
DE_FS_15_24,DE,DE_FS,DE_FS_15,47.775,12.81663333,2744175.838,4532172.702
DE_FS_15_25,DE,DE_FS,DE_FS_15,47.77486667,12.81696667,2744161.983,4532198.228
DE_FS_16_01,DE,DE_FS,DE_FS_16,47.76901667,12.82825,2743544.601,4533067.87
DE_FS_16_02,DE,DE_FS,DE_FS_16,47.76975,12.82868333,2743627.283,4533097.315
DE_FS_16_03,DE,DE_FS,DE_FS_16,47.76963333,12.82841667,2743613.562,4533077.813
DE_FS_16_04,DE,DE_FS,DE_FS_16,47.76983333,12.82903333,2743637.541,4533123.199
DE_FS_16_05,DE,DE_FS,DE_FS_16,47.77003333,12.82935,2743660.66,4533146.104
DE_FS_16_06,DE,DE_FS,DE_FS_16,47.77015,12.82968333,2743674.573,4533170.601
DE_FS_16_07,DE,DE_FS,DE_FS_16,47.77031667,12.82996667,2743693.896,4533191.145
DE_FS_16_08,DE,DE_FS,DE_FS_16,47.76938333,12.82845,2743585.894,4533081.344
DE_FS_16_09,DE,DE_FS,DE_FS_16,47.76955,12.82883333,2743605.503,4533109.382
DE_FS_16_10,DE,DE_FS,DE_FS_16,47.76943333,12.82801667,2743590.204,4533048.664
DE_FS_16_11,DE,DE_FS,DE_FS_16,47.7697,12.82915,2743623.069,4533132.493
DE_FS_16_12,DE,DE_FS,DE_FS_16,47.76981667,12.82961667,2743637.364,4533166.983
DE_FS_16_13,DE,DE_FS,DE_FS_16,47.76991667,12.82988333,2743649.235,4533186.553
DE_FS_16_14,DE,DE_FS,DE_FS_16,47.76925,12.82821667,2743570.418,4533064.409
DE_FS_16_15,DE,DE_FS,DE_FS_16,47.77,12.83016667,2743659.302,4533207.441
DE_FS_16_16,DE,DE_FS,DE_FS_16,47.76918333,12.82861667,2743564.161,4533094.66
DE_FS_16_17,DE,DE_FS,DE_FS_16,47.76928333,12.82908333,2743576.605,4533129.218
DE_FS_16_18,DE,DE_FS,DE_FS_16,47.7695,12.82951667,2743601.91,4533160.797
DE_FS_16_19,DE,DE_FS,DE_FS_16,47.76958333,12.82983333,2743612.073,4533184.183
DE_FS_16_20,DE,DE_FS,DE_FS_16,47.76966667,12.83011667,2743622.141,4533205.072
DE_FS_16_21,DE,DE_FS,DE_FS_16,47.76915,12.82971667,2743563.615,4533177.231
DE_FS_16_22,DE,DE_FS,DE_FS_16,47.7691,12.82943333,2743557.249,4533156.205
DE_FS_16_23,DE,DE_FS,DE_FS_16,47.76913333,12.82908333,2743559.947,4533129.838
DE_FS_16_24,DE,DE_FS,DE_FS_16,47.769,12.82886667,2743544.519,4533114.152
DE_FS_16_25,DE,DE_FS,DE_FS_16,47.76901667,12.82855,2743545.462,4533090.352
DE_FS_17_01,DE,DE_FS,DE_FS_17,51.16301,8.908568,3117447.015,4244655.232
DE_FS_17_02,DE,DE_FS,DE_FS_17,51.162863,8.908947,3117430.267,4244681.497
DE_FS_17_03,DE,DE_FS,DE_FS_17,51.16257,8.909109,3117397.505,4244692.344
DE_FS_17_04,DE,DE_FS,DE_FS_17,51.162216,8.909067,3117358.17,4244688.821
DE_FS_17_05,DE,DE_FS,DE_FS_17,51.162709,8.908584,3117413.515,4244655.853
DE_FS_17_06,DE,DE_FS,DE_FS_17,51.162754,8.908021,3117419.109,4244616.549
DE_FS_17_07,DE,DE_FS,DE_FS_17,51.162546,8.908222,3117395.761,4244630.264
DE_FS_17_08,DE,DE_FS,DE_FS_17,51.162213,8.908454,3117358.476,4244645.94
DE_FS_17_09,DE,DE_FS,DE_FS_17,51.161934,8.908604,3117327.284,4244655.97
DE_FS_17_10,DE,DE_FS,DE_FS_17,51.161734,8.908742,3117304.891,4244665.292
DE_FS_17_11,DE,DE_FS,DE_FS_17,51.161193,8.908828,3117244.621,4244670.412
DE_FS_17_12,DE,DE_FS,DE_FS_17,51.16086,8.908877,3117207.527,4244673.289
DE_FS_17_13,DE,DE_FS,DE_FS_17,51.160476,8.908807,3117164.884,4244667.758
DE_FS_17_14,DE,DE_FS,DE_FS_17,51.160136,8.908895,3117126.971,4244673.351
DE_FS_17_15,DE,DE_FS,DE_FS_17,51.159936,8.9086,3117105.031,4244652.386
DE_FS_17_16,DE,DE_FS,DE_FS_17,51.160286,8.908377,3117144.197,4244637.366
DE_FS_17_17,DE,DE_FS,DE_FS_17,51.161831,8.908209,3117316.238,4244628.172
DE_FS_17_18,DE,DE_FS,DE_FS_17,51.162118,8.907895,3117348.492,4244606.684
DE_FS_17_19,DE,DE_FS,DE_FS_17,51.163242,8.907507,3117473.931,4244581.406
DE_FS_17_20,DE,DE_FS,DE_FS_17,51.163452,8.907325,3117497.482,4244569.025
DE_FS_17_21,DE,DE_FS,DE_FS_17,51.163692,8.907122,3117524.392,4244555.224
DE_FS_17_22,DE,DE_FS,DE_FS_17,51.163612,8.907687,3117514.902,4244594.609
DE_FS_17_23,DE,DE_FS,DE_FS_17,51.163425,8.907979,3117493.795,4244614.722
DE_FS_17_24,DE,DE_FS,DE_FS_17,51.163634,8.90834,3117516.667,4244640.317
DE_FS_17_25,DE,DE_FS,DE_FS_17,51.163381,8.908485,3117488.372,4244650.04
DE_FS_18_01,DE,DE_FS,DE_FS_18,51.1295,8.978961,3113648.196,4249526.936
DE_FS_18_02,DE,DE_FS,DE_FS_18,51.129788,8.97879,3113680.4,4249515.412
DE_FS_18_03,DE,DE_FS,DE_FS_18,51.130032,8.978515,3113707.812,4249496.541
DE_FS_18_04,DE,DE_FS,DE_FS_18,51.130311,8.97853,3113738.833,4249498.023
DE_FS_18_05,DE,DE_FS,DE_FS_18,51.130619,8.978357,3113773.264,4249486.391
DE_FS_18_06,DE,DE_FS,DE_FS_18,51.130914,8.978192,3113806.242,4249475.299
DE_FS_18_07,DE,DE_FS,DE_FS_18,51.131095,8.977856,3113826.705,4249452.061
DE_FS_18_08,DE,DE_FS,DE_FS_18,51.131254,8.97754,3113844.702,4249430.19
DE_FS_18_09,DE,DE_FS,DE_FS_18,51.131431,8.977249,3113864.676,4249410.097
DE_FS_18_10,DE,DE_FS,DE_FS_18,51.131674,8.976777,3113892.17,4249377.437
DE_FS_18_11,DE,DE_FS,DE_FS_18,51.131254,8.97625,3113845.965,4249339.9
DE_FS_18_12,DE,DE_FS,DE_FS_18,51.131058,8.976583,3113823.836,4249362.903
DE_FS_18_13,DE,DE_FS,DE_FS_18,51.130812,8.976909,3113796.151,4249385.34
DE_FS_18_14,DE,DE_FS,DE_FS_18,51.130793,8.977512,3113793.447,4249427.516
DE_FS_18_15,DE,DE_FS,DE_FS_18,51.130503,8.977513,3113761.186,4249427.137
DE_FS_18_16,DE,DE_FS,DE_FS_18,51.130232,8.977512,3113731.041,4249426.647
DE_FS_18_17,DE,DE_FS,DE_FS_18,51.129925,8.977615,3113696.79,4249433.381
DE_FS_18_18,DE,DE_FS,DE_FS_18,51.129717,8.977898,3113673.375,4249452.867
DE_FS_18_19,DE,DE_FS,DE_FS_18,51.129469,8.978157,3113645.534,4249470.612
DE_FS_18_20,DE,DE_FS,DE_FS_18,51.129148,8.97836,3113609.627,4249484.324
DE_FS_18_21,DE,DE_FS,DE_FS_18,51.128895,8.978618,3113581.231,4249501.991
DE_FS_18_22,DE,DE_FS,DE_FS_18,51.128647,8.978886,3113553.381,4249520.367
DE_FS_18_23,DE,DE_FS,DE_FS_18,51.128389,8.97916,3113524.413,4249539.147
DE_FS_18_24,DE,DE_FS,DE_FS_18,51.129032,8.979758,3113595.357,4249581.999
DE_FS_18_25,DE,DE_FS,DE_FS_18,51.129222,8.979395,3113616.847,4249556.884
ES_FS_01_01,ES,ES_FS,ES_FS_01,42.66808,-0.12167,2229446.938,3491473.523
ES_FS_01_02,ES,ES_FS,ES_FS_01,42.66783,-0.1237,2229441.84,3491304.819
ES_FS_01_03,ES,ES_FS,ES_FS_01,42.66916,-0.12289,2229579.202,3491389.234
ES_FS_01_04,ES,ES_FS,ES_FS_01,42.66959,-0.12291,2229626.723,3491393.582
ES_FS_01_05,ES,ES_FS,ES_FS_01,42.6702,-0.12283,2229692.94,3491408.572
