sample;country;countryspecies;population;latwgs84;lonwgs84;latetrs89;lonetrs89;Bio01;Bio02;Bio03;Bio04;Bio05;Bio06;Bio07;Bio08;Bio09;Bio10;Bio11;Bio12;Bio13;Bio14;Bio15;Bio16;Bio17;Bio18;Bio19;gmted;pH.top;pH.dee
AT_FS_13_11;AT;AT_FS;AT_FS_13;46.49507;14.0667;2606527.654;4633348.146;5.09078688776227;8.69610118558463;30.7998251743999;705.886537408142;18.9239904960951;-9.22410834629695;28.148098842392;10.431477276325;-2.84241672057059;14.1239904960951;-4.13518309234145;1995.8633297405;210.779865043324;79.4561132776261;28.3218757102875;630.812220909863;284.641842918972;609.42670633912;316.564227390263;1286.4070136554;5.06925822015113;5.29150487742725
AT_FS_13_12;AT;AT_FS;AT_FS_13;46.49512;14.06645;2606532.149;4633328.674;5.07486312492304;8.69662024489279;30.8095870558267;705.692814626304;18.9067857925568;-9.23455116842038;28.1413369609772;10.4136725727843;-2.8570595427108;14.1067857925569;-4.1449449737682;1996.65386094995;210.869002916865;79.4794798625766;28.326756651001;631.086315471206;284.729828318059;609.692239019041;316.663693730089;1289.03767215163;5.06752179210042;5.29117651577285
AT_FS_13_13;AT;AT_FS;AT_FS_13;46.49523;14.06671;2606545.442;4633347.977;5.12463960286316;8.69709436432993;30.783798816853;706.364537139293;18.9627963899571;-9.20120880998125;28.1640051999384;10.4683631701794;-2.81351718423086;14.1627963899572;-4.10943673475567;1994.52937120423;210.640394646681;79.3800410261321;28.3284425315725;630.454736541434;284.416547092054;609.108528328331;316.288858384403;1280.71258851365;5.06715113010075;5.29019445101602
AT_FS_13_14;AT;AT_FS;AT_FS_13;46.49563;14.06662;2606589.43;4633338.732;5.19697435683308;8.69960805276019;30.7505714398798;707.398021724402;19.0461648323914;-9.15214774452456;28.1983125769159;10.5469316125944;-2.75221611872524;14.2461648323914;-4.05328935769085;1991.75467990067;210.353234565549;79.2117252065179;28.3462088432233;629.740022610206;283.926997502752;608.482481774298;315.68651510623;1268.52500657077;5.06123265622354;5.28690301296773
AT_FS_13_15;AT;AT_FS;AT_FS_13;46.49657;14.06713;2606695.833;4633372.356;5.3761363245229;8.7;30.661322518497;709.797818534272;19.2423640579445;-9.04059890997887;28.2829629679234;10.727354963006;-2.59610875364437;14.4378681828481;-3.9240683453912;1977.15967212498;209.027626076318;78.5196904038694;28.380321021043;625.479826468167;281.71965193171;604.429116364355;313.104209116179;1239.32522631184;5.05244813355756;5.28002073307653
AT_FS_13_16;AT;AT_FS;AT_FS_13;46.49743;14.06826;2606795.972;4633454.011;5.57042373019044;8.7;30.5617646846963;712.399098284423;19.4533879875083;-8.92271629036095;28.3761042778692;10.9264706306075;-2.42728960999336;14.6473038504909;-3.78713398761163;1961.53304810554;207.58306471289;77.7994216865233;28.4064527592331;620.851888472024;279.417146636129;600.027879678693;310.40181424751;1207.7351673542;5.05272723486942;5.27712611071762
AT_FS_13_17;AT;AT_FS;AT_FS_13;46.49739;14.0683;2606791.704;4633457.314;5.56925135862219;8.7;30.5619898078468;712.382893203504;19.4522198664687;-8.92317503771941;28.3753949041881;10.9260203843064;-2.42822410682501;14.6463736041879;-3.78831486023727;1961.87959473584;207.60863632451;77.8181034318392;28.4042906339601;620.945420309065;279.475086368912;600.117822142041;310.469341228745;1207.90087052066;5.05352076330606;5.27747847147913
AT_FS_13_18;AT;AT_FS;AT_FS_13;46.49709;14.06787;2606756.621;4633426.082;5.5026065784193;8.7;30.59617699718;711.488530257667;19.3800758893306;-8.96303102244515;28.3431069117757;10.85764600564;-2.48593928853553;14.5743992255071;-3.83520124653459;1967.33087085082;208.112285847815;78.069316205065;28.3952202323804;622.560372091745;280.276119870259;601.652605932117;311.411432321397;1218.71568315307;5.05263047276194;5.27805474050866
AT_FS_13_19;AT;AT_FS;AT_FS_13;46.4968;14.0677;2606723.741;4633414.738;5.45503750696293;8.7;30.6196957279558;710.85046910885;19.328650037664;-8.99131492353222;28.3199649611962;10.8106085440884;-2.52707996986879;14.5238817639415;-3.86953675754845;1971.73271353303;208.504453744351;78.2783872276541;28.3842486224339;623.843248660997;280.940393619343;602.87490055064;312.189996411522;1226.39322529899;5.0543736194157;5.27952604878983
AT_FS_13_20;AT;AT_FS;AT_FS_13;46.49728;14.06731;2606775.34;4633382.009;5.48019722177443;8.7;30.6108558815377;711.191065445345;19.3550497085898;-8.97827514293331;28.3333248515231;10.8282882369246;-2.50596023312816;14.5473214568008;-3.8479369549699;1967.08304356536;208.143614862117;78.035027621695;28.4090086444784;622.564091837945;280.179835064688;601.646903618066;311.304037988036;1222.55167378281;5.04523858303107;5.27522116175083
